"Season","PlayerId","Player","Position","Team","Conference","Category","StatType","Stat"
"2025","3949586","Jake Taylor","TE","Duke","ACC","receiving","LONG","16"
"2025","3949586","Jake Taylor","TE","Duke","ACC","receiving","REC","2"
"2025","3949586","Jake Taylor","TE","Duke","ACC","receiving","TD","0"
"2025","3949586","Jake Taylor","TE","Duke","ACC","receiving","YDS","20"
"2025","3949586","Jake Taylor","TE","Duke","ACC","receiving","YPR","10.0"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","PD","3"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","QB HUR","8"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","SACKS","2"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","SOLO","19"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","TD","0"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","TFL","3.5"
"2025","4360303","David Reese","DL","Syracuse","ACC","defensive","TOT","24"
"2025","4360303","David Reese","DL","Syracuse","ACC","fumbles","FUM","0"
"2025","4360303","David Reese","DL","Syracuse","ACC","fumbles","LOST","0"
"2025","4360303","David Reese","DL","Syracuse","ACC","fumbles","REC","2"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","receiving","LONG","9"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","receiving","REC","1"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","receiving","TD","0"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","receiving","YDS","9"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","receiving","YPR","9.0"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","rushing","CAR","5"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","rushing","LONG","9"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","rushing","TD","0"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","rushing","YDS","23"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","rushing","YPC","4.6"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","PD","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","QB HUR","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","SACKS","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","SOLO","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","TD","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","TFL","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","defensive","TOT","1"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","kickReturns","AVG","20.5"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","kickReturns","LONG","22"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","kickReturns","NO","2"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","kickReturns","TD","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","kickReturns","YDS","41"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","receiving","LONG","23"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","receiving","REC","22"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","receiving","TD","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","receiving","YDS","191"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","receiving","YPR","8.7"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","rushing","CAR","6"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","rushing","LONG","21"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","rushing","TD","1"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","rushing","YDS","71"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","rushing","YPC","11.8"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","PD","1"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","QB HUR","0"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","SACKS","0"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","SOLO","10"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","TD","0"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","TFL","1"
"2025","4426931","Antonio Clary","S","Virginia","ACC","defensive","TOT","27"
"2025","4426931","Antonio Clary","S","Virginia","ACC","interceptions","AVG","0.5"
"2025","4426931","Antonio Clary","S","Virginia","ACC","interceptions","INT","2"
"2025","4426931","Antonio Clary","S","Virginia","ACC","interceptions","TD","0"
"2025","4426931","Antonio Clary","S","Virginia","ACC","interceptions","YDS","1"
