"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2025","3949586","Jake Taylor","TE","Duke","ACC","0.035","0.066","0","0.031","0.021","0.08","0.051","0"
"2025","4362263","Jalynn Williams","RB","Pittsburgh","ACC","0.03","0.009","0.06","0.035","0.016","0.051","0.042","0"
"2025","4379471","Tyler Brown","WR","Clemson","ACC","0.055","0.083","0.017","0.052","0.033","0.099","0.049","0.068"
"2025","4428451","Brett Seither","TE","Georgia Tech","ACC","0.033","0.07","0","0.032","0.032","0.044","0.026","0.057"
"2025","4428993","Haynes King","QB","Georgia Tech","ACC","0.616","0.901","0.382","0.532","0.63","0.795","0.566","0.762"
"2025","4429173","Bryce Farrell","WR","Stanford","ACC","0.067","0.109","0.017","0.074","0.073","0.046","0.062","0.076"
"2025","4430185","Caullin Lacy","WR","Louisville","ACC","0.111","0.182","0.038","0.12","0.086","0.139","0.098","0.144"
"2025","4430565","Will Nixon","RB","Syracuse","ACC","0.153","0.067","0.248","0.188","0.136","0.139","0.183","0.089"
"2025","4430841","Carson Beck","QB","Miami","ACC","0.478","0.915","0.083","0.385","0.501","0.692","0.391","0.727"
"2025","4430894","Caziah Holmes","RB","Florida State","ACC","0.05","0","0.075","0.058","0.062","0.016","0.052","0.043"
"2025","4431081","Sage Ennis","TE","Virginia","ACC","0.046","0.096","0","0.052","0.053","0.023","0.047","0.042"
"2025","4431114","Ben Gulbranson","QB","Stanford","ACC","0.479","0.857","0.029","0.419","0.473","0.619","0.373","0.693"
"2025","4431197","Romello Brinson","WR","SMU","ACC","0.098","0.175","0.004","0.097","0.094","0.116","0.099","0.096"
"2025","4431209","Dacari Collins","WR","Louisville","ACC","0.053","0.11","0","0.049","0.062","0.052","0.035","0.104"
"2025","4431303","Jake Overman","TE","Pittsburgh","ACC","0.027","0.05","0","0.017","0.04","0.034","0.019","0.042"
"2025","4431505","Kobe Paysour","WR","North Carolina","ACC","0.105","0.191","0","0.086","0.095","0.143","0.095","0.129"
"2025","4431580","Miller Moss","QB","Louisville","ACC","0.527","0.948","0.074","0.458","0.504","0.736","0.45","0.735"
"2025","4431600","Jayden Thomas","WR","Virginia","ACC","0.023","0.052","0","0","0.024","0.036","0.021","0.028"
"2025","4432260","Matthew Hibner","TE","SMU","ACC","0.055","0.102","0","0.041","0.067","0.066","0.038","0.094"
"2025","4432506","Sawyer Racanelli","WR","Wake Forest","ACC","0.055","0.113","0","0.042","0.034","0.108","0.034","0.096"
"2025","4432718","LJ Johnson Jr.","RB","California","ACC","0.085","0.035","0.152","0.083","0.104","0.041","0.079","0.097"
"2025","4565318","Terion Stewart","RB","Virginia Tech","ACC","0.135","0.028","0.229","0.181","0.169","0.025","0.162","0.082"
"2025","4567033","Donavon Greene","WR","Virginia Tech","ACC","0.067","0.129","0","0.069","0.063","0.073","0.054","0.094"
"2025","4567707","Grayson James","QB","Boston College","ACC","0.326","0.489","0.126","0.314","0.301","0.38","0.28","0.445"
"2025","4569001","Cameron Ross","WR","Virginia","ACC","0.077","0.162","0.002","0.083","0.061","0.078","0.071","0.09"
"2025","4576294","Harrison Waylee","RB","Virginia","ACC","0.143","0.031","0.247","0.132","0.176","0.121","0.152","0.123"
"2025","4587701","Andrel Anthony Jr.","WR","Duke","ACC","0.054","0.094","0","0.064","0.046","0.047","0.062","0.038"
"2025","4589233","Dylan Goffney","WR","SMU","ACC","0.016","0.033","0","0","0.05","0","0","0.053"
"2025","4595341","Caleb Hood","RB","North Carolina","ACC","0.129","0.073","0.185","0.147","0.14","0.108","0.124","0.14"
"2025","4602192","Landen King","TE","Duke","ACC","0.029","0.05","0","0.038","0.01","0.018","0.039","0.005"
"2025","4603746","Malik Rutherford","WR","Georgia Tech","ACC","0.074","0.141","0.02","0.082","0.077","0.057","0.069","0.088"
"2025","4604004","Keelan Marion","WR","Miami","ACC","0.079","0.159","0.008","0.046","0.1","0.13","0.061","0.131"
"2025","4605951","C.J. Daniels","WR","Miami","ACC","0.082","0.172","0","0.068","0.086","0.118","0.066","0.125"
"2025","4608858","Dan Villari","TE","Syracuse","ACC","0.091","0.129","0.05","0.067","0.105","0.116","0.077","0.119"
"2025","4608922","Braydon Bennett","RB","Virginia Tech","ACC","0.038","0.014","0.063","0.046","0.023","0.048","0.041","0.029"
"2025","4611995","Jamal Haynes","RB","Georgia Tech","ACC","0.193","0.113","0.27","0.244","0.19","0.07","0.224","0.105"
"2025","4612246","Sahmir Hagans","WR","Duke","ACC","0.061","0.113","0","0.05","0.05","0.106","0.044","0.1"
"2025","4612297","Markeston Douglas","TE","Florida State","ACC","0.049","0.125","0","0","0.143","0","0","0.136"
"2025","4612558","Anderson Castle","RB","Duke","ACC","0.133","0.036","0.251","0.128","0.139","0.139","0.164","0.059"
"2025","4678010","Kyron Drones","QB","Virginia Tech","ACC","0.628","0.975","0.338","0.507","0.619","0.838","0.553","0.779"
"2025","4682484","Stone Eby","TE","SMU","ACC","0.015","0.034","0","0.034","0","0","0.02","0"
"2025","4683159","Lewis Bond","WR","Boston College","ACC","0.143","0.235","0.019","0.124","0.13","0.199","0.111","0.218"
"2025","4683306","Landon Morris","TE","California","ACC","0.028","0.048","0","0.023","0.031","0.038","0.028","0.026"
"2025","4683571","Eni Falayi","TE","Wake Forest","ACC","0.046","0.094","0","0.039","0.073","0.028","0.05","0.039"
"2025","4683886","Jahmal Edrine","WR","Virginia","ACC","0.06","0.127","0","0.059","0.058","0.069","0.049","0.083"
"2025","4683923","Banks Pope","TE","Clemson","ACC","0.015","0.027","0","0.029","0","0","0.022","0"
"2025","4685131","J.T. Byrne","TE","Georgia Tech","ACC","0.017","0.031","0.005","0.018","0.017","0","0.019","0.011"
"2025","4685252","Henry Belin IV","QB","Duke","ACC","0.038","0.035","0.041","0.016","0.034","0.064","0.016","0.089"
"2025","4685364","Andre Greene Jr.","WR","Virginia","ACC","0.013","0.029","0","0.031","0","0","0.018","0"
"2025","4685366","Benji Gosnell","TE","Virginia Tech","ACC","0.033","0.068","0","0.011","0.056","0.05","0.015","0.075"
"2025","4685409","Jordan Hudson","WR","SMU","ACC","0.113","0.201","0.004","0.108","0.1","0.153","0.1","0.145"
"2025","4685413","Cade Klubnik","QB","Clemson","ACC","0.563","0.9","0.175","0.496","0.596","0.665","0.512","0.694"
"2025","4685414","Jake Johnson","TE","North Carolina","ACC","0.07","0.121","0","0.059","0.1","0.028","0.058","0.099"
"2025","4685504","Sam Roush","TE","Stanford","ACC","0.099","0.187","0","0.112","0.1","0.083","0.085","0.128"
"2025","4685526","Adam Randall","RB","Clemson","ACC","0.24","0.101","0.423","0.278","0.242","0.186","0.27","0.167"
"2025","4685545","Gavin Sawchuk","RB","Florida State","ACC","0.147","0.049","0.222","0.144","0.145","0.167","0.176","0.079"
"2025","4685560","Jaleel Skinner","TE","Louisville","ACC","0.034","0.066","0","0.032","0.026","0.05","0.034","0.036"
"2025","4685594","Dakota Twitty","TE","Virginia","ACC","0.046","0.1","0","0.046","0.048","0.051","0.036","0.073"
"2025","4685691","Brady Allen","QB","Louisville","ACC","0.11","0.193","0.018","0.109","0.049","0.227","0.079","0.207"
"2025","4685694","Steven Angeli","QB","Syracuse","ACC","0.55","0.901","0.104","0.49","0.564","0.673","0.467","0.78"
"2025","4685723","Roydell Williams","RB","Florida State","ACC","0.055","0.028","0.077","0.073","0.041","0.032","0.066","0.034"
"2025","4685740","Max Johnson","QB","North Carolina","ACC","0.412","0.623","0.081","0.406","0.397","0.4","0.369","0.507"
"2025","4686769","Ashaad Clayton","RB","SMU","ACC","0.042","0.015","0.076","0.042","0.056","0.02","0.053","0.014"
"2025","4688216","Chevy Brenson","WR","Wake Forest","ACC","0.015","0.035","0","0.017","0.024","0","0.01","0.029"
"2025","4688541","Kyion Grayes","WR","California","ACC","0.026","0.036","0","0.034","0.037","0","0.023","0.029"
"2025","4692530","Chandler Morris","QB","Virginia","ACC","0.453","0.866","0.086","0.445","0.429","0.498","0.381","0.606"
"2025","4693954","Ian Schieffelin","TE","Clemson","ACC","0.03","0.053","0","0.032","0.049","0","0.042","0"
"2025","4695709","Devin Brown","QB","California","ACC","0.028","0.045","0.007","0.013","0.017","0.071","0.021","0.045"
"2025","4696686","Deuce Spann","WR","Pittsburgh","ACC","0.028","0.047","0.006","0.021","0.021","0.053","0.02","0.045"
"2025","4696688","Josh Beetham","TE","Georgia Tech","ACC","0.016","0.036","0","0.011","0","0.028","0.021","0"
"2025","4697512","Robby Ashford","QB","Wake Forest","ACC","0.58","0.899","0.294","0.511","0.592","0.706","0.509","0.727"
"2025","4702913","R.J. Maryland","TE","SMU","ACC","0.047","0.085","0","0.07","0.03","0.022","0.057","0.023"
"2025","4703030","Jaiven Plummer","WR","California","ACC","0.019","0.032","0","0.025","0.011","0.019","0.016","0.024"
"2025","4705557","Quaron Adams","WR","California","ACC","0.04","0.055","0.016","0.042","0.05","0.023","0.047","0.024"
"2025","4708354","Jeremiah Franklin","TE","Boston College","ACC","0.076","0.132","0","0.047","0.121","0.06","0.069","0.093"
"2025","4708487","Jaquez Moore","RB","Duke","ACC","0.09","0.026","0.171","0.111","0.105","0.022","0.097","0.071"
"2025","4713118","J'mari Taylor","RB","Virginia","ACC","0.272","0.115","0.424","0.274","0.274","0.268","0.31","0.186"
"2025","4713277","Eric Rivers","WR","Georgia Tech","ACC","0.087","0.169","0.017","0.089","0.095","0.07","0.079","0.11"
"2025","4726129","Harrison Saint Germain","TE","Virginia Tech","ACC","0.017","0.033","0","0.013","0.017","0.024","0.023","0"
"2025","4773919","Thomas Castellanos","QB","Florida State","ACC","0.502","0.891","0.228","0.434","0.505","0.622","0.416","0.7"
"2025","4804878","Cooper Barkate","WR","Duke","ACC","0.121","0.224","0","0.123","0.107","0.133","0.114","0.138"
"2025","4816323","Nate Kurisky","TE","Louisville","ACC","0.039","0.075","0","0.029","0.051","0.047","0.036","0.046"
"2025","4824124","Alex Broome","RB","Boston College","ACC","0.051","0","0.108","0.057","0.083","0","0.048","0.063"
"2025","4832029","Alex Bauman","TE","Miami","ACC","0.036","0.075","0","0.023","0.045","0.06","0.029","0.056"
"2025","4832846","Demond Claiborne","RB","Wake Forest","ACC","0.257","0.106","0.401","0.306","0.237","0.188","0.296","0.176"
"2025","4837258","Travis Bates","RB","Duke","ACC","0.069","0","0.129","0.066","0.07","0.083","0.056","0.098"
"2025","4837385","Jordan Mcdonald","RB","Boston College","ACC","0.113","0.027","0.233","0.138","0.113","0.06","0.139","0.049"
"2025","4840118","Tucker Holloway","WR","Virginia Tech","ACC","0.037","0.071","0","0.033","0.048","0.029","0.028","0.061"
"2025","4868171","Tate Carney","RB","Wake Forest","ACC","0.018","0","0.032","0","0.063","0","0.027","0"
"2025","4868249","Davis Lane","RB","Virginia","ACC","0.028","0","0.051","0.03","0.05","0","0.027","0.029"
"2025","4869728","Jeremiah Hasley","TE","Duke","ACC","0.053","0.098","0","0.039","0.054","0.059","0.046","0.071"
"2025","4869961","Chris Bell","WR","Louisville","ACC","0.152","0.279","0","0.154","0.151","0.162","0.143","0.175"
"2025","4870645","Rickie Collins","QB","Syracuse","ACC","0.441","0.697","0.135","0.333","0.467","0.6","0.307","0.694"
"2025","4870656","Johntay Cook II","WR","Syracuse","ACC","0.092","0.174","0.003","0.061","0.126","0.103","0.067","0.145"
"2025","4870709","Shamar Easter","TE","North Carolina","ACC","0.016","0.035","0","0.017","0","0.038","0.022","0"
"2025","4870736","Mark Fletcher Jr.","RB","Miami","ACC","0.237","0.048","0.426","0.289","0.231","0.12","0.281","0.111"
"2025","4870770","Nathaniel Joseph","WR","Miami","ACC","0.045","0.079","0","0.029","0.043","0.167","0.019","0.154"
"2025","4870789","Jaxson Lavender","WR","SMU","ACC","0.06","0","0.133","0.065","0.095","0","0.061","0.056"
"2025","4870802","Sedrick Irvin","RB","Stanford","ACC","0.07","0.012","0.143","0.091","0.068","0.036","0.083","0.044"
"2025","4870819","Eli Holstein","QB","Pittsburgh","ACC","0.383","0.538","0.163","0.349","0.383","0.456","0.353","0.443"
"2025","4870826","Micah Mays Jr.","WR","Wake Forest","ACC","0.069","0.138","0","0.051","0.099","0.069","0.059","0.089"
"2025","4870870","Ty Lockwood","TE","Boston College","ACC","0.019","0.031","0","0.026","0.019","0","0.017","0.023"
"2025","4870900","Dylan Lonergan","QB","Boston College","ACC","0.439","0.694","0.076","0.379","0.455","0.556","0.378","0.583"
"2025","4870922","Duce Robinson","WR","Florida State","ACC","0.106","0.255","0","0.101","0.105","0.122","0.092","0.138"
"2025","4870929","Noah Rogers","WR","NC State","ACC","0.066","0.132","0","0.043","0.094","0.083","0.048","0.106"
"2025","4870941","Cameron Seldon","WR","Virginia Tech","ACC","0.043","0.072","0.018","0.066","0.03","0.021","0.05","0.029"
"2025","4870954","Randy Pittman","TE","Florida State","ACC","0.065","0.128","0.015","0.047","0.058","0.1","0.047","0.102"
"2025","4870955","Samuel Singleton","RB","Florida State","ACC","0.105","0.01","0.182","0.15","0.088","0.045","0.14","0.021"
"2025","4871001","Jaedn Skeete","WR","Boston College","ACC","0.056","0.098","0","0.038","0.077","0.065","0.043","0.082"
"2025","4871053","Daylan Smothers","RB","NC State","ACC","0.288","0.116","0.472","0.448","0.163","0.171","0.356","0.15"
"2025","4871148","Jaylin Lucas","RB","Florida State","ACC","0.05","0.046","0.054","0.048","0.062","0.038","0.048","0.055"
"2025","4871708","Luke McLaughlin","WR","Boston College","ACC","0.042","0.073","0","0.047","0.033","0.048","0.036","0.057"
"2025","4873276","Zach Jackson","WR","Clemson","ACC","0.015","0.027","0","0.029","0","0","0.022","0"
"2025","4873442","Xavier Brown","RB","Virginia","ACC","0.112","0.034","0.182","0.105","0.159","0.073","0.125","0.083"
"2025","4873609","Daylon Gordon","RB","Georgia Tech","ACC","0.016","0","0.034","0.032","0","0","0.022","0"
"2025","4875128","Lex Thomas","QB","NC State","ACC","0.058","0.113","0","0.017","0.053","0.15","0.023","0.143"
"2025","4875272","Trond Grizzell","WR","California","ACC","0.106","0.18","0","0.07","0.149","0.123","0.073","0.181"
"2025","4875613","Dean Patterson","WR","Georgia Tech","ACC","0.039","0.088","0","0.043","0.044","0.026","0.04","0.037"
"2025","4876056","Jeffrey Johnson","TE","California","ACC","0.015","0.023","0","0","0.029","0.022","0","0.041"
"2025","4876144","Tuna Altahir","RB","Stanford","ACC","0.066","0.007","0.139","0.047","0.093","0.075","0.087","0.025"
"2025","4877558","Raphael Williams","WR","Pittsburgh","ACC","0.087","0.156","0.003","0.066","0.108","0.096","0.077","0.106"
"2025","4879499","Tony Johnson","WR","Miami","ACC","0.028","0.058","0","0.019","0.028","0.063","0.03","0.022"
"2025","4880279","P.J. Prioleau","RB","Virginia Tech","ACC","0.057","0.059","0.055","0.07","0.056","0.041","0.065","0.04"
"2025","4882122","Sterling Berkhalter","WR","Wake Forest","ACC","0.055","0.116","0","0.038","0.054","0.092","0.036","0.094"
"2025","4888723","Wesley Grimes","WR","NC State","ACC","0.056","0.115","0","0.041","0.075","0.069","0.04","0.093"
"2025","4893815","JaMario Clements","RB","Wake Forest","ACC","0.06","0.018","0.102","0.062","0.072","0.032","0.067","0.044"
"2025","4898018","Josh Sapp","TE","Clemson","ACC","0.027","0.047","0","0.025","0.04","0.008","0.025","0.032"
"2025","4899368","Kendrick Raphael","RB","California","ACC","0.292","0.077","0.618","0.372","0.269","0.165","0.362","0.135"
"2025","4899369","Christopher Vizzina","QB","Clemson","ACC","0.286","0.416","0.14","0.252","0.288","0.368","0.227","0.436"
"2025","4899472","Chris Culliver","WR","North Carolina","ACC","0.05","0.102","0","0.066","0.047","0.032","0.052","0.048"
"2025","4899704","Jordan King","WR","California","ACC","0.041","0.068","0","0.026","0.038","0.084","0.023","0.08"
"2025","4910239","Justus Ross-Simmons","WR","Syracuse","ACC","0.085","0.15","0","0.089","0.048","0.122","0.075","0.108"
"2025","4910711","Justin Holmes","TE","Pittsburgh","ACC","0.05","0.09","0","0.048","0.073","0.029","0.053","0.044"
"2025","4912052","Justin Joly","TE","NC State","ACC","0.079","0.157","0","0.057","0.11","0.07","0.073","0.09"
"2025","4912130","Trell Harris","WR","Virginia","ACC","0.084","0.18","0","0.084","0.069","0.108","0.07","0.115"
