player,team,conference,season,category,playerId,position_stat,CAR,LONG,TD,YDS,YPC,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,rushing_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
A'Marion Peterson,USC,Pac-12,2023,rushing,4918111,RB,2,9,0,14,7.0,amarion peterson,RB,111616,4918111,HighSchool,2023.0,369.0,A'Marion Peterson,Hirschi,USC,RB,72.0,200.0,4.0,0.8967,Wichita Falls,TX,USA,"{'latitude': 33.9137085, 'longitude': -98.4933873, 'fipsCode': '48485'}",2023.0,1.0,usc,usc,1,0,18,0.5007849293563579,0.1357927786499215,0.2817896389324961,0.1357927786499215,Bust
A'Marion Peterson,USC,Big Ten,2024,rushing,4918111,RB,16,14,1,65,4.1,amarion peterson,RB,111616,4918111,HighSchool,2023.0,369.0,A'Marion Peterson,Hirschi,USC,RB,72.0,200.0,4.0,0.8967,Wichita Falls,TX,USA,"{'latitude': 33.9137085, 'longitude': -98.4933873, 'fipsCode': '48485'}",2023.0,2.0,usc,usc,1,0,117,0.5006544502617801,0.31544502617801046,0.38952879581151834,0.31544502617801046,Depth / Rotation
A'Marion Peterson,UTSA,American Athletic,2025,rushing,4918111,RB,49,14,3,177,3.6,amarion peterson,RB,111616,4918111,HighSchool,2023.0,369.0,A'Marion Peterson,Hirschi,USC,RB,72.0,200.0,4.0,0.8967,Wichita Falls,TX,USA,"{'latitude': 33.9137085, 'longitude': -98.4933873, 'fipsCode': '48485'}",2023.0,3.0,utsa,usc,0,0,335,0.5007739938080495,0.47058823529411764,0.48266253869969045,0.47058823529411764,Depth / Rotation
A'Montae Spivey,Arkansas,SEC,2019,rushing,4567160,RB,7,11,0,24,3.4,amontae spivey,RB,123037,4567160,HighSchool,2019.0,770.0,A'Montae Spivey,Central Phenix City,Arkansas,RB,72.0,208.0,3.0,0.8693,Phenix City,AL,USA,"{'latitude': 32.4709761, 'longitude': -85.0007653, 'fipsCode': '01113'}",2019.0,1.0,arkansas,arkansas,1,0,38,0.5007849293563579,0.23469387755102042,0.34113029827315544,0.23469387755102042,Bust
A'Montae Spivey,Arkansas,SEC,2020,rushing,4567160,RB,4,5,0,11,2.8,amontae spivey,RB,123037,4567160,HighSchool,2019.0,770.0,A'Montae Spivey,Central Phenix City,Arkansas,RB,72.0,208.0,3.0,0.8693,Phenix City,AL,USA,"{'latitude': 32.4709761, 'longitude': -85.0007653, 'fipsCode': '01113'}",2019.0,2.0,arkansas,arkansas,1,0,19,0.5006544502617801,0.0831151832460733,0.25013089005235606,0.0831151832460733,Bust
A.J. Carter,Arizona State,Pac-12,2018,rushing,4360446,RB,4,8,0,12,3.0,aj carter,RB,126991,4360446,HighSchool,2018.0,722.0,AJ Carter,Many,Arizona State,RB,72.0,220.0,3.0,0.8647,Many,LA,USA,"{'latitude': 31.5687848, 'longitude': -93.4840645, 'fipsCode': '22085'}",2018.0,1.0,arizona state,arizona state,1,0,20,0.5007849293563579,0.14678178963893249,0.28838304552590266,0.14678178963893249,Bust
A.J. Carter,Arizona State,Pac-12,2019,rushing,4360446,RB,19,15,0,50,2.6,aj carter,RB,126991,4360446,HighSchool,2018.0,722.0,AJ Carter,Many,Arizona State,RB,72.0,220.0,3.0,0.8647,Many,LA,USA,"{'latitude': 31.5687848, 'longitude': -93.4840645, 'fipsCode': '22085'}",2018.0,2.0,arizona state,arizona state,1,0,88,0.5006544502617801,0.262434554973822,0.35772251308900527,0.262434554973822,Depth / Rotation
A.J. Gates,UAB,Conference USA,2021,rushing,4567114,RB,7,15,0,24,3.4,aj gates,RB,125944,4567114,HighSchool,2019.0,3746.0,A.J. Gates,Mountain Brook,Alabama,RB,67.0,180.0,2.0,0.76,Birmingham,AL,USA,"{'latitude': 33.5206824, 'longitude': -86.8024326, 'fipsCode': '01073'}",2019.0,3.0,uab,alabama,0,0,38,0.5007739938080495,0.15092879256965944,0.29086687306501546,0.15092879256965944,Bust
A.J. Gates,UAB,Conference USA,2022,rushing,4567114,RB,11,6,0,13,1.2,aj gates,RB,125944,4567114,HighSchool,2019.0,3746.0,A.J. Gates,Mountain Brook,Alabama,RB,67.0,180.0,2.0,0.76,Birmingham,AL,USA,"{'latitude': 33.5206824, 'longitude': -86.8024326, 'fipsCode': '01073'}",2019.0,4.0,uab,alabama,0,0,35,0.5010224948875256,0.08793456032719836,0.25316973415132926,0.08793456032719836,Bust
A.J. Gates,Alabama State,SWAC,2023,rushing,4567114,RB,14,24,0,54,3.9,aj gates,RB,125944,4567114,HighSchool,2019.0,3746.0,A.J. Gates,Mountain Brook,Alabama,RB,67.0,180.0,2.0,0.76,Birmingham,AL,USA,"{'latitude': 33.5206824, 'longitude': -86.8024326, 'fipsCode': '01073'}",2019.0,5.0,alabama state,alabama,0,0,82,0.5016233766233766,0.1525974025974026,0.2922077922077922,0.1525974025974026,Bust
A.J. Turner,Marshall,Sun Belt,2022,rushing,5082548,RB,17,17,0,100,5.9,aj turner,RB,115433,5082548,HighSchool,2022.0,2097.0,A.J. Turner,Life Christian Academy,Marshall,RB,73.0,190.0,3.0,0.817,Hampton,VA,USA,"{'latitude': 37.0520315, 'longitude': -76.2856365, 'fipsCode': '51650'}",2022.0,1.0,marshall,marshall,1,0,134,0.5007849293563579,0.5039246467817896,0.5026687598116168,0.5039246467817896,Depth / Rotation
