player,team,conference,season,category,playerId,position_stat,LONG,REC,TD,YDS,YPR,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,receiving_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
A.J. Abbott,Wisconsin,Big Ten,2020,receiving,4372579,WR,9,2,0,12,6.0,aj abbott,WR,127132,,HighSchool,2018.0,863.0,AJ Abbott,West Bloomfield,Wisconsin,WR,74.0,180.0,3.0,0.8581,West Bloomfield,MI,USA,"{'latitude': 42.5679, 'longitude': -83.3733, 'fipsCode': '36069'}",2018.0,3.0,wisconsin,wisconsin,1,0,22,0.5004132231404959,0.10371900826446281,0.26239669421487605,0.10371900826446281,Bust
A.J. Abbott,Wisconsin,Big Ten,2021,receiving,4372579,WR,7,1,0,7,7.0,aj abbott,WR,127132,,HighSchool,2018.0,863.0,AJ Abbott,West Bloomfield,Wisconsin,WR,74.0,180.0,3.0,0.8581,West Bloomfield,MI,USA,"{'latitude': 42.5679, 'longitude': -83.3733, 'fipsCode': '36069'}",2018.0,4.0,wisconsin,wisconsin,1,0,12,0.5004985044865404,0.04287138584247258,0.22592223330009972,0.04287138584247258,Bust
A.J. Abbott,Western Michigan,Mid-American,2022,receiving,4372579,WR,31,5,1,61,12.2,aj abbott,WR,127132,,HighSchool,2018.0,863.0,AJ Abbott,West Bloomfield,Wisconsin,WR,74.0,180.0,3.0,0.8581,West Bloomfield,MI,USA,"{'latitude': 42.5679, 'longitude': -83.3733, 'fipsCode': '36069'}",2018.0,5.0,western michigan,wisconsin,0,0,106,0.5006784260515604,0.25169606512890097,0.35128900949796477,0.25169606512890097,Depth / Rotation
A.J. Barner,Indiana,Big Ten,2021,receiving,4576297,TE,76,14,1,162,11.6,aj barner,TE,119522,,HighSchool,2020.0,1131.0,AJ Barner,Aurora,,TE,77.0,225.0,3.0,0.8522,Aurora,OH,USA,"{'latitude': 41.317555, 'longitude': -81.345386, 'fipsCode': '39133'}",2020.0,2.0,indiana,none,0,0,252,0.5003996802557954,0.6358912869704236,0.5816946442845723,0.6358912869704236,Starter
A.J. Barner,Indiana,Big Ten,2022,receiving,4576297,TE,43,27,3,193,7.1,aj barner,TE,119522,,HighSchool,2020.0,1131.0,AJ Barner,Aurora,,TE,77.0,225.0,3.0,0.8522,Aurora,OH,USA,"{'latitude': 41.317555, 'longitude': -81.345386, 'fipsCode': '39133'}",2020.0,3.0,indiana,none,0,0,388,0.5004132231404959,0.6475206611570248,0.5886776859504133,0.6475206611570248,Starter
A.J. Barner,Michigan,Big Ten,2023,receiving,4576297,TE,22,22,1,249,11.3,aj barner,TE,119522,,HighSchool,2020.0,1131.0,AJ Barner,Aurora,,TE,77.0,225.0,3.0,0.8522,Aurora,OH,USA,"{'latitude': 41.317555, 'longitude': -81.345386, 'fipsCode': '39133'}",2020.0,4.0,michigan,none,0,0,379,0.5004985044865404,0.5598205383848455,0.5360917248255235,0.5598205383848455,Depth / Rotation
A.J. Henning,Michigan,Big Ten,2020,receiving,4429053,WR,28,6,0,59,9.8,aj henning,WR,118509,4429053,HighSchool,2020.0,102.0,A.J. Henning,Lincoln-Way East,Michigan,WR,70.0,183.0,4.0,0.9546,Frankfort,IL,USA,"{'latitude': 41.4958665, 'longitude': -87.8486613, 'fipsCode': '17197'}",2020.0,1.0,michigan,michigan,1,0,89,0.5005753739930955,0.5126582278481012,0.5078250863060989,0.5126582278481012,Depth / Rotation
A.J. Henning,Michigan,Big Ten,2021,receiving,4429053,WR,24,10,0,79,7.9,aj henning,WR,118509,4429053,HighSchool,2020.0,102.0,A.J. Henning,Lincoln-Way East,Michigan,WR,70.0,183.0,4.0,0.9546,Frankfort,IL,USA,"{'latitude': 41.4958665, 'longitude': -87.8486613, 'fipsCode': '17197'}",2020.0,2.0,michigan,michigan,1,0,129,0.5003996802557954,0.4548361310951239,0.4730615507593925,0.4548361310951239,Depth / Rotation
A.J. Henning,Michigan,Big Ten,2022,receiving,4429053,WR,16,9,0,60,6.7,aj henning,WR,118509,4429053,HighSchool,2020.0,102.0,A.J. Henning,Lincoln-Way East,Michigan,WR,70.0,183.0,4.0,0.9546,Frankfort,IL,USA,"{'latitude': 41.4958665, 'longitude': -87.8486613, 'fipsCode': '17197'}",2020.0,3.0,michigan,michigan,1,0,105,0.5004132231404959,0.35206611570247937,0.411404958677686,0.35206611570247937,Depth / Rotation
A.J. Henning,Northwestern,Big Ten,2023,receiving,4429053,WR,41,45,4,418,9.3,aj henning,WR,118509,4429053,HighSchool,2020.0,102.0,A.J. Henning,Lincoln-Way East,Michigan,WR,70.0,183.0,4.0,0.9546,Frankfort,IL,USA,"{'latitude': 41.4958665, 'longitude': -87.8486613, 'fipsCode': '17197'}",2020.0,4.0,northwestern,michigan,0,0,723,0.5004985044865404,0.7786640079760718,0.6673978065802593,0.7786640079760718,Starter
